participant,task_id,task_type,task_style,facet,condition,question_index,time_ms,answer_multiple_choice_ms,find_supporting_answer_ms,score_answer_correct,score_verdict_correct,score_evidence_precision,score_evidence_recall,score_evidence_hop_exact_1,score_evidence_hop_exact_2,score_type_precision,score_type_recall,score_step_precision,score_step_recall,score_no_error_agreement,confidence,helpfulness,scroll_count,ctrl_f_count,text_select_count,click_count,mouse_move_px,website_click_count,panel_click_count
10,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,332652,262463,70189,true,,1,1,true,true,,,,,,very,somewhat,14,2,1,11,87668,4,7
11,HARRY-v1,find,find_text,Find × Text,nongrounding,2,461598,418961,42637,true,,0,0,false,false,,,,,,somewhat,somewhat,6,3,2,13,45996,5,8
17,NVIDA-V1,find,find_text,Find × Text,grounding,0,240039,175784,64255,true,,1,1,true,true,,,,,,somewhat,somewhat,0,0,1,8,1209,2,6
18,EDU-v1,find,find_text,Find × Text,grounding,0,144769,89674,55095,true,,1,1,true,true,,,,,,very,notmuch,19,4,1,15,9207,5,10
12,HARRY-v1,find,find_text,Find × Text,nongrounding,2,133843,7005,126838,true,,0,0,false,false,,,,,,notsure,notatall,0,0,0,19,2092,2,17
20,EDU-v1,find,find_text,Find × Text,grounding,0,337923,199204,138719,true,,1,1,true,true,,,,,,very,very,18,2,5,16,50783,7,9
1,EDU-v1,find,find_text,Find × Text,grounding,0,26281,2182,24099,true,,1,1,true,true,,,,,,very,very,4,1,0,11,12270,5,6
2,EDU-v1,find,find_text,Find × Text,grounding,0,332215,270564,61651,true,,1,1,true,true,,,,,,very,somewhat,12,2,1,18,46858,7,11
24,NVIDA-V1,find,find_text,Find × Text,grounding,0,423193,316906,106287,true,,1,1,true,true,,,,,,very,very,7,5,1,20,61247,11,9
22,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,531464,478265,53199,true,,1,1,true,true,,,,,,somewhat,very,16,0,0,15,37253,4,11
21,EDU-v1,find,find_text,Find × Text,nongrounding,1,73688,53308,20380,true,,0,0,false,false,,,,,,guessed,notatall,7,0,0,9,12864,3,6
19,HARRY-v1,find,find_text,Find × Text,grounding,0,196854,114454,82400,true,,1,1,true,true,,,,,,very,very,14,3,3,10,26715,2,8
24,EDU-v1,find,find_text,Find × Text,nongrounding,2,483097,432110,50987,true,,1,1,true,true,,,,,,very,very,0,2,7,26,57665,3,23
19,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,2,592498,566231,26267,true,,1,1,true,true,,,,,,very,very,20,1,3,8,33183,2,6
23,NVIDA-V1,find,find_text,Find × Text,nongrounding,2,195970,100960,95010,true,,1,1,true,true,,,,,,very,very,9,1,4,31,61971,12,19
21,NVIDA-V1,find,find_text,Find × Text,grounding,0,187250,166097,21153,true,,1,1,true,true,,,,,,very,very,6,0,0,12,12512,3,9
